ticker,name,market_cap,sector,industry,is_profitable,net_income,net_margin,profitability_reason,current_price,pe_ratio,revenue,revenue_growth,timestamp
AXL,"American Axle & Manufacturing Holdings, Inc.",646956992,Consumer Cyclical,Auto Parts,True,35000000.0,0.5714379010269556,"Net Income: $35,000,000",5.452,15.577144,5833200128.0,-0.059,2025-10-17T09:30:03.751000
ANGI,Angi Inc.,592854656,Communication Services,Internet Content & Information,True,36004000.0,3.0380250980498045,"Net Income: $36,004,000",13.37,11.235293,1088722048.0,-0.117,2025-10-17T09:29:58.767337
ACIC,American Coastal Insurance Corporation,574455296,Financial Services,Insurance - Property & Casualty,True,75718000.0,25.542695412515982,"Net Income: $75,718,000",11.78,7.1829267,320072000.0,-0.235,2025-10-17T09:29:53.425702
ALRS,Alerus Financial Corporation,536877952,Financial Services,Banks - Regional,True,17780000.0,8.236362288763711,"Net Income: $17,780,000",21.14,14.093333,252130000.0,0.595,2025-10-17T09:29:57.209555
ASIX,AdvanSix Inc.,529904256,Basic Materials,Chemicals,True,44149000.0,2.9092152716504223,"Net Income: $44,149,000",19.74,6.9507046,1515062016.0,-0.096,2025-10-17T09:30:01.192014
BCAL,California BanCorp.,523533312,Financial Services,Banks - Regional,True,5433000.0,4.2524048433427515,"Net Income: $5,433,000",16.1,17.88889,157668992.0,1.329,2025-10-17T09:30:05.152297
ANSC,Agriculture & Natural Solutions Acquisition Corporation,476962528,Financial Services,Shell Companies,True,8363892.0,,"Net Income: $8,363,892",11.06,85.07693,,,2025-10-17T09:29:59.044113
AUNA,Auna SA,471462592,Healthcare,Medical Care Facilities,True,110271000.0,2.514094487327273,"Net Income: $110,271,000",6.37,6.6354165,4325599232.0,-0.024,2025-10-17T09:30:02.769590
ASC,Ardmore Shipping Corporation,470019648,Industrials,Marine Shipping,True,133006000.0,32.77753681761725,"Net Income: $133,006,000",11.55,11.213593,324200000.0,-0.406,2025-10-17T09:30:01.188512
ACNB,ACNB Corporation,454451648,Financial Services,Banks - Regional,True,31846000.0,29.394227485439494,"Net Income: $31,846,000",43.415,15.90293,123053000.0,0.313,2025-10-17T09:29:53.671538
ARKO,Arko Corp.,452660512,Consumer Cyclical,Specialty Retail,True,20845000.0,0.23872069072219965,"Net Income: $20,845,000",4.015,50.1875,8131936768.0,-0.177,2025-10-17T09:30:00.521675
AII,"American Integrity Insurance Group, Inc.",448100128,Financial Services,Insurance - Property & Casualty,True,39742000.0,19.44762519940887,"Net Income: $39,742,000",22.895,5.916021,260047008.0,0.606,2025-10-17T09:29:55.864914
ASTL,Algoma Steel Group Inc.,399273120,Basic Materials,Steel,True,105200000.0,3.762787037699406,"Net Income: $105,200,000",3.805,,2290499328.0,-0.093,2025-10-17T09:30:01.687203
ALF,Centurion Acquisition Corp.,380218752,Financial Services,Shell Companies,True,7838845.0,,"Net Income: $7,838,845",10.58,24.045454,,,2025-10-17T09:29:56.809055
ARTNA,Artesian Resources Corporation,348165920,Utilities,Utilities - Regulated Water,True,20394000.0,18.89172965762561,"Net Income: $20,394,000",33.49,15.43318,110427000.0,0.041,2025-10-17T09:30:00.876047
ASLE,AerSale Corporation,343009632,Industrials,Airports & Air Services,True,5851000.0,1.6956176499568199,"Net Income: $5,851,000",7.27,55.92308,350583008.0,0.393,2025-10-17T09:30:01.183782
BBCP,"Concrete Pumping Holdings, Inc.",341790336,Industrials,Engineering & Construction,True,16207000.0,3.8056035616335424,"Net Income: $16,207,000",6.64,41.5,395561984.0,-0.054,2025-10-17T09:30:04.744980
BEAG,Bold Eagle Acquisition Corp.,334022112,Financial Services,Shell Companies,True,2043928.0,,"Net Income: $2,043,928",10.6655,28.825674,,,2025-10-17T09:30:05.675034
AIRJ,AirJoule Technologies Corporation,317307872,Industrials,Building Products & Equipment,True,215695562.0,,"Net Income: $215,695,562",5.25,52.5,,,2025-10-17T09:29:56.119749
ANPA,Rich Sparkle Holdings Limited,311249984,Industrials,Specialty Business Services,True,820393.0,13.94182687413723,"Net Income: $820,393",24.9,415.0,5832684.0,-0.029,2025-10-17T09:29:58.967617
BCML,BayCom Corp,302696384,Financial Services,Banks - Regional,True,23614000.0,24.31024542908911,"Net Income: $23,614,000",27.71,12.711008,96577000.0,0.037,2025-10-17T09:30:05.327485
