ticker,name,market_cap,current_price,trailing_eps,profit_margin,revenue_growth,industry,sector
GDRX,"GoodRx Holdings, Inc.",1348071168,3.8799,0.09,0.04326,0.012,Health Information Services,Healthcare
RPD,"Rapid7, Inc.",1164132096,17.98,0.44,0.03276,0.03,Software - Infrastructure,Technology
